Entity,Code,Year,Annual CO₂ emissions (per capita),GDP per capita,900793-annotations,Population (historical),World regions according to OWID,time,time,time,time
Afghanistan,AFG,2022,0.26017997,1357.9878,,40578846,Asia,2022,2023,2022,2022
Albania,ALB,2022,1.8295882,12978.101,,2827615,Europe,2022,2023,2022,2022
Algeria,DZA,2022,4.058238,13506.444,,45477391,Africa,2022,2023,2022,2022
Angola,AGO,2022,0.56826746,6118.905,,35635028,Africa,2022,2023,2022,2022
Argentina,ARG,2022,4.4943867,18292.318,,45407904,South America,2022,2023,2022,2022
Armenia,ARM,2022,2.4869328,13837.577,,2880883,Asia,2022,2023,2022,2022
Australia,AUS,2022,14.669758,52049.43,,26200987,Oceania,2022,2023,2022,2022
Austria,AUT,2022,6.7833743,43792.855,,9064679,Europe,2022,2023,2022,2022
Azerbaijan,AZE,2022,3.9232905,17682.94,,10295307,Asia,2022,2023,2022,2022
Bahrain,BHR,2022,23.249395,38651.6,,1533459,Asia,2022,2023,2022,2022
Bangladesh,BGD,2022,0.67221403,4925.721,,169384890,Asia,2022,2023,2022,2022
Barbados,BRB,2022,4.049638,11545.848,,282324,North America,2022,2023,2022,2022
Belarus,BLR,2022,6.473651,18699.799,,9173241,Europe,2022,2023,2022,2022
Belgium,BEL,2022,7.645034,41872.395,,11641813,Europe,2022,2023,2022,2022
Benin,BEN,2022,0.4209725,2477.0903,,13759507,Africa,2022,2023,2022,2022
Bolivia,BOL,2022,1.8529397,6481.3906,,12077155,South America,2022,2023,2022,2022
Bosnia and Herzegovina,BIH,2022,6.5412273,12142.863,,3204805,Europe,2022,2023,2022,2022
Botswana,BWA,2022,2.7031999,16351.91,,2439895,Africa,2022,2023,2022,2022
Brazil,BRA,2022,2.3006458,14640.076,,210306411,South America,2022,2023,2022,2022
Bulgaria,BGR,2022,6.880554,20592.455,,6825863,Europe,2022,2023,2022,2022
Burkina Faso,BFA,2022,0.28317013,1704.966,,22509037,Africa,2022,2023,2022,2022
Burundi,BDI,2022,0.053095087,717.22845,,13321101,Africa,2022,2023,2022,2022
Cambodia,KHM,2022,1.1399201,3944.2468,,17201717,Asia,2022,2023,2022,2022
Cameroon,CMR,2022,0.36354783,2812.2148,,27632771,Africa,2022,2023,2022,2022
Canada,CAN,2022,14.18325,45529.645,,38821260,North America,2022,2023,2022,2022
Cape Verde,CPV,2022,1.067773,7202.767,,519750,Africa,2022,2023,2022,2022
Central African Republic,CAF,2022,0.05306414,596.393,,5098038,Africa,2022,2023,2022,2022
Chad,TCD,2022,0.1628097,1393.5635,,18455319,Africa,2022,2023,2022,2022
Chile,CHL,2022,4.2211823,22740.72,,19553032,South America,2022,2023,2022,2022
China,CHN,2022,7.9642863,19238.18,,1425179562,Asia,2022,2023,2022,2022
Colombia,COL,2022,1.8998148,14468.964,,51737944,South America,2022,2023,2022,2022
Comoros,COM,2022,0.54054224,1900.3983,,834192,Africa,2022,2023,2022,2022
Congo,COG,2022,1.344008,4187.507,,6035107,Africa,2022,2023,2022,2022
Costa Rica,CRI,2022,1.5442005,15496.82,,5081765,North America,2022,2023,2022,2022
Cote d'Ivoire,CIV,2022,0.44888434,4011.7122,,30395003,Africa,2022,2023,2022,2022
Croatia,HRV,2022,4.506801,26986.752,,3907031,Europe,2022,2023,2022,2022
Cuba,CUB,2022,1.9785384,7648.704,,11059821,North America,2022,2023,2022,2022
Cyprus,CYP,2022,5.4060793,31523.498,,1331376,Europe,2022,2023,2022,2022
Czechia,CZE,2022,8.910881,32247.395,,10673216,Europe,2022,2023,2022,2022
Democratic Republic of Congo,COD,2022,0.045222,844.172,,102396974,Africa,2022,2023,2022,2022
Denmark,DNK,2022,4.8165383,50689.68,,5902898,Europe,2022,2023,2022,2022
Djibouti,DJI,2022,0.4346689,3623.0603,,1137100,Africa,2022,2023,2022,2022
Dominica,DMA,2022,2.338145,8879.6455,,66850,North America,2022,2023,2022,2022
Dominican Republic,DOM,2022,2.7096004,17713.52,,11230734,North America,2022,2023,2022,2022
Ecuador,ECU,2022,2.2734659,10124.076,,17823900,South America,2022,2023,2022,2022
Egypt,EGY,2022,2.4078562,13205.406,,112618251,Africa,2022,2023,2022,2022
El Salvador,SLV,2022,1.2420064,9218.905,,6280316,North America,2022,2023,2022,2022
Equatorial Guinea,GNQ,2022,3.7846842,22707.22,,1803550,Africa,2022,2023,2022,2022
Estonia,EST,2022,8.708426,30067.395,,1350092,Europe,2022,2023,2022,2022
Eswatini,SWZ,2022,0.8857859,8522.45,,1218921,Africa,2022,2023,2022,2022
Ethiopia,ETH,2022,0.12088373,2289.409,,125384285,Africa,2022,2023,2022,2022
Finland,FIN,2022,6.5299063,40701.465,,5569299,Europe,2022,2023,2022,2022
France,FRA,2022,4.428381,39065.71,,66277412,Europe,2022,2023,2022,2022
Gabon,GAB,2022,2.4003546,15720.901,,2430752,Africa,2022,2023,2022,2022
Gambia,GMB,2022,0.2797237,2010.5322,,2636473,Africa,2022,2023,2022,2022
Georgia,GEO,2022,3.0376284,14360.359,,3794783,Asia,2022,2023,2022,2022
Germany,DEU,2022,7.985512,46647.793,,84086228,Europe,2022,2023,2022,2022
Ghana,GHA,2022,0.61199135,4242.4106,,33149151,Africa,2022,2023,2022,2022
Greece,GRC,2022,5.5778756,25283.906,,10412481,Europe,2022,2023,2022,2022
Guatemala,GTM,2022,1.070925,7969.431,,17847877,North America,2022,2023,2022,2022
Guinea,GIN,2022,0.29839432,1809.2666,,14055137,Africa,2022,2023,2022,2022
Guinea-Bissau,GNB,2022,0.14682573,1625.3876,,2105537,Africa,2022,2023,2022,2022
Haiti,HTI,2022,0.2939031,1546.4222,,11503604,North America,2022,2023,2022,2022
Honduras,HND,2022,1.0016866,5186.5303,,10463881,North America,2022,2023,2022,2022
Hong Kong,HKG,2022,4.223433,48289.383,,7465914,Asia,2022,2023,2022,2022
Hungary,HUN,2022,4.6304326,29451.855,,9684306,Europe,2022,2023,2022,2022
Iceland,ISL,2022,9.499335,42145.594,,380368,Europe,2022,2023,2022,2022
India,IND,2022,1.9861934,7765.593,,1425423212,Asia,2022,2023,2022,2022
Indonesia,IDN,2022,2.643443,12801.671,,278830529,Asia,2022,2023,2022,2022
Iran,IRN,2022,8.944466,18473.066,,89524247,Asia,2022,2023,2022,2022
Iraq,IRQ,2022,3.8864772,13071.94,,44070556,Asia,2022,2023,2022,2022
Ireland,IRL,2022,7.1842065,60257.082,,5110013,Europe,2022,2023,2022,2022
Israel,ISR,2022,6.695069,36648.918,,9103144,Asia,2022,2023,2022,2022
Italy,ITA,2022,5.714146,36224.293,,59619106,Europe,2022,2023,2022,2022
Jamaica,JAM,2022,2.5137153,7481.6685,,2839151,North America,2022,2023,2022,2022
Japan,JPN,2022,8.261654,38268.79,,124997586,Asia,2022,2023,2022,2022
Jordan,JOR,2022,1.7993976,9151.479,,11256268,Asia,2022,2023,2022,2022
Kazakhstan,KAZ,2022,12.698733,26491.857,,20034612,Asia,2022,2023,2022,2022
Kenya,KEN,2022,0.39440423,3403.9238,,54252456,Africa,2022,2023,2022,2022
Kuwait,KWT,2022,21.235485,71533.516,,4589514,Asia,2022,2023,2022,2022
Kyrgyzstan,KGZ,2022,1.4422635,5304.841,,6955792,Asia,2022,2023,2022,2022
Laos,LAO,2022,3.100422,7168.1904,,7559007,Asia,2022,2023,2022,2022
Latvia,LVA,2022,3.5191457,27220.303,,1881058,Europe,2022,2023,2022,2022
Lebanon,LBN,2022,3.294004,10341.159,,5744494,Asia,2022,2023,2022,2022
Lesotho,LSO,2022,1.676462,2312.9583,,2286112,Africa,2022,2023,2022,2022
Liberia,LBR,2022,0.14741065,811.2146,,5373296,Africa,2022,2023,2022,2022
Libya,LBY,2022,7.9661736,12755.204,,7223804,Africa,2022,2023,2022,2022
Lithuania,LTU,2022,4.5640817,30863.32,,2816922,Europe,2022,2023,2022,2022
Luxembourg,LUX,2022,11.138139,55484.777,,653316,Europe,2022,2023,2022,2022
Madagascar,MDG,2022,0.14158471,1367.0938,,30437263,Africa,2022,2023,2022,2022
Malawi,MWI,2022,0.08499348,1190.0509,,20568731,Africa,2022,2023,2022,2022
Malaysia,MYS,2022,8.227235,26628.707,,34695494,Asia,2022,2023,2022,2022
Mali,MLI,2022,0.302889,1651.9413,,23072639,Africa,2022,2023,2022,2022
Malta,MLT,2022,3.3579102,34496.34,,528194,Europe,2022,2023,2022,2022
Mauritania,MRT,2022,0.9388735,3680.3662,,4875645,Africa,2022,2023,2022,2022
Mauritius,MUS,2022,3.0781853,20643.094,,1276134,Africa,2022,2023,2022,2022
Mexico,MEX,2022,3.6181042,16235.455,,128613113,North America,2022,2023,2022,2022
Moldova,MDA,2022,1.9046042,6674.871,,3039987,Europe,2022,2023,2022,2022
Mongolia,MNG,2022,12.821786,13442.906,,3386015,Asia,2022,2023,2022,2022
Montenegro,MNE,2022,3.8892248,20941.805,,614650,Europe,2022,2023,2022,2022
Morocco,MAR,2022,1.8619682,8400.127,,37329069,Africa,2022,2023,2022,2022
Mozambique,MOZ,2022,0.25593418,1087.836,,32656240,Africa,2022,2023,2022,2022
Myanmar,MMR,2022,0.54937565,5177.4326,,53756790,Asia,2022,2023,2022,2022
Namibia,NAM,2022,1.4136043,7979.328,,2889668,Africa,2022,2023,2022,2022
Nepal,NPL,2022,0.54143506,3013.5178,,29715434,Asia,2022,2023,2022,2022
Netherlands,NLD,2022,7.10668,49669.867,,17904422,Europe,2022,2023,2022,2022
New Zealand,NZL,2022,6.1597295,38250.12,,5131733,Oceania,2022,2023,2022,2022
Nicaragua,NIC,2022,0.78686625,5092.8413,,6730661,North America,2022,2023,2022,2022
Niger,NER,2022,0.1065656,1007.72095,,25311977,Africa,2022,2023,2022,2022
Nigeria,NGA,2022,0.58959305,5070.4927,,223150906,Africa,2022,2023,2022,2022
North Korea,PRK,2022,2.1342523,1568.847,,26328842,Asia,2022,2023,2022,2022
North Macedonia,MKD,2022,3.8730772,14050.995,,1840236,Europe,2022,2023,2022,2022
Norway,NOR,2022,7.4783826,88366.22,,5456795,Europe,2022,2023,2022,2022
Oman,OMN,2022,16.19496,47988.65,,4730227,Asia,2022,2023,2022,2022
Pakistan,PAK,2022,0.9184807,5531.723,,243700667,Asia,2022,2023,2022,2022
Palestine,PSE,2022,0.6626704,4775.202,,5305274,Asia,2022,2023,2022,2022
Panama,PAN,2022,2.5803442,23557.02,,4400772,North America,2022,2023,2022,2022
Paraguay,PRY,2022,1.1992412,8762.771,,6760461,South America,2022,2023,2022,2022
Peru,PER,2022,1.6368117,12762.967,,33475435,South America,2022,2023,2022,2022
Philippines,PHL,2022,1.271431,8370.666,,113964342,Asia,2022,2023,2022,2022
Poland,POL,2022,8.207275,32468.402,,38385734,Europe,2022,2023,2022,2022
Portugal,PRT,2022,3.905804,28992.059,,10417075,Europe,2022,2023,2022,2022
Qatar,QAT,2022,36.699455,149171.11,,2892465,Asia,2022,2023,2022,2022
Romania,ROU,2022,3.8082967,26197.904,,19166776,Europe,2022,2023,2022,2022
Russia,RUS,2022,12.379388,25437.107,,145579890,Europe,2022,2023,2022,2022
Rwanda,RWA,2022,0.112867266,2198.0662,,13651026,Africa,2022,2023,2022,2022
Saint Lucia,LCA,2022,2.741865,10452.165,,178794,North America,2022,2023,2022,2022
Sao Tome and Principe,STP,2022,0.7063447,3751.6428,,226313,Africa,2022,2023,2022,2022
Saudi Arabia,SAU,2022,22.480917,53516.91,,32175352,Asia,2022,2023,2022,2022
Senegal,SEN,2022,0.69540817,2660.6816,,17651099,Africa,2022,2023,2022,2022
Serbia,SRB,2022,6.407803,17097.686,,6791218,Europe,2022,2023,2022,2022
Seychelles,SYC,2022,4.4108114,31055.39,,125532,Africa,2022,2023,2022,2022
Sierra Leone,SLE,2022,0.15435418,1690.4982,,8276808,Africa,2022,2023,2022,2022
Singapore,SGP,2022,8.47322,80320.086,,5649886,Asia,2022,2023,2022,2022
Slovakia,SVK,2022,5.764503,27519.287,,5473194,Europe,2022,2023,2022,2022
Slovenia,SVN,2022,6.0046854,32673.762,,2115230,Europe,2022,2023,2022,2022
South Africa,ZAF,2022,6.4976277,11415.887,,62378419,Africa,2022,2023,2022,2022
South Korea,KOR,2022,11.627331,41320.9,,51782514,Asia,2022,2023,2022,2022
Spain,ESP,2022,4.906229,34123.387,,47828386,Europe,2022,2023,2022,2022
Sri Lanka,LKA,2022,0.87160516,10705.481,,22834964,Asia,2022,2023,2022,2022
Sweden,SWE,2022,3.573302,47126.13,,10487333,Europe,2022,2023,2022,2022
Switzerland,CHE,2022,3.7327363,63323.254,,8792180,Europe,2022,2023,2022,2022
Syria,SYR,2022,1.1269531,2494.7612,,22462170,Asia,2022,2023,2022,2022
Taiwan,TWN,2022,11.685208,53142.984,,23420107,Asia,2022,2023,2022,2022
Tajikistan,TJK,2022,0.8805482,5507.5454,,10182229,Asia,2022,2023,2022,2022
Tanzania,TZA,2022,0.27407458,3057.3286,,64711821,Africa,2022,2023,2022,2022
Thailand,THA,2022,3.7997096,16421.072,,71735320,Asia,2022,2023,2022,2022
Togo,TGO,2022,0.29509485,1586.5889,,9089742,Africa,2022,2023,2022,2022
Trinidad and Tobago,TTO,2022,24.26992,25773.006,,1495922,North America,2022,2023,2022,2022
Tunisia,TUN,2022,2.636084,10913.846,,12119336,Africa,2022,2023,2022,2022
Turkey,TUR,2022,5.0231223,27361.988,,87058470,Asia,2022,2023,2022,2022
Turkmenistan,TKM,2022,8.873119,17234.555,,7230198,Asia,2022,2023,2022,2022
Uganda,UGA,2022,0.11916314,2122.0278,,47312718,Africa,2022,2023,2022,2022
Ukraine,UKR,2022,3.4380171,7749.0996,,41048767,Europe,2022,2023,2022,2022
United Arab Emirates,ARE,2022,22.063599,77203.67,,10242085,Asia,2022,2023,2022,2022
United Kingdom,GBR,2022,4.6030793,38406.53,,68179315,Europe,2022,2023,2022,2022
United States,USA,2022,14.870761,58487.465,,341534041,North America,2022,2023,2022,2022
Uruguay,URY,2022,2.3061185,20181.94,,3390913,South America,2022,2023,2022,2022
Uzbekistan,UZB,2022,3.5787795,12559.401,,34938955,Asia,2022,2023,2022,2022
Venezuela,VEN,2022,3.1019225,5267.1753,,28213016,South America,2022,2023,2022,2022
Vietnam,VNM,2022,2.9858737,8050.359,,99680656,Asia,2022,2023,2022,2022
Yemen,YEM,2022,0.26937118,1959.3195,,38222880,Asia,2022,2023,2022,2022
Zambia,ZMB,2022,0.37323508,3342.4214,,20152934,Africa,2022,2023,2022,2022
Zimbabwe,ZWE,2022,0.64875853,1703.5294,,16069061,Africa,2022,2023,2022,2022
