date, value
12/1/16,1.14
12/1/17,0.98
12/1/18,0.92
12/1/19,0.96
12/1/20,3
12/1/21,0.29
12/1/22,0.72
12/1/23,-0.43
12/1/24,0.14
12/1/25,-0.14
12/1/26,-0.14
12/1/27,0.14
12/1/28,0.14
12/1/29,-0.29
12/1/30,-0.14
12/1/31,9.18
12/1/32,-8.01
12/1/33,27.38
12/1/34,32.23
12/1/35,0
12/1/36,0
12/1/37,0
12/1/38,0
12/1/39,-0.89
12/1/40,-1.82
12/1/41,0
12/1/42,0
12/1/43,0
12/1/44,0
12/1/45,2.76
12/1/46,0
12/1/47,0
12/1/48,0
12/1/49,-8.91
12/1/50,9.79
12/1/51,0
12/1/52,-0.89
12/1/53,0.89
12/1/54,0.89
12/1/55,0
12/1/56,0
12/1/57,-0.88
12/1/58,0.89
12/1/59,0
12/1/60,0
12/1/61,0
12/1/62,0
12/1/63,0
12/1/64,0
12/1/65,0
12/1/66,0
12/1/67,0
12/1/68,14.16
12/1/69,3.89
12/1/70,-12.7
12/1/71,18.93
12/1/72,46.99
12/1/73,67.03
12/1/74,72.1
12/1/75,-24.17
12/1/76,-3.85
12/1/77,19.69
12/1/78,29.55
12/1/79,119.51
12/1/80,30.25
12/1/81,-30.91
12/1/82,8.31
12/1/83,-12.68
12/1/84,-17.65
12/1/85,0.64
12/1/86,21.51
12/1/87,24.55
12/1/88,-13.93
12/1/89,-2.31
12/1/90,-7.71
12/1/91,-4.4
12/1/92,-7.28
12/1/93,14.58
12/1/94,-1.14
12/1/95,2.13
12/1/96,-4.75
12/1/97,-21.78
12/1/98,1.07
12/1/99,-2.95
12/1/00,-4.1
12/1/01,1.62
12/1/02,20.33
12/1/03,22.35
12/1/04,8.86
12/1/05,15.39
12/1/06,23.39
12/1/07,27.61
12/1/08,8.29
12/1/09,25.04
12/1/10,29.24
12/1/11,8.93
12/1/12,8.26
12/1/13,-27.33
12/1/14,0.12
12/1/15,-11.34
12/1/16,7.71
12/1/17,12.57
12/1/18,-1.15
12/1/19,18.83
12/1/20,24.43
12/1/21,-3.51
12/1/22,-0.23
12/1/23,13.08
10/1/24,28.51
