Population Density by Province 2021  (person/sq.km),province_name,population_density
,ACEH,92
,SUMATERA UTARA,205
,SUMATERA BARAT,133
,RIAU,75
,JAMBI,72
,SUMATERA SELATAN,93
,BENGKULU,102
,LAMPUNG,262
,KEP. BANGKA BELITUNG,90
,KEP. RIAU,258
,DKI JAKARTA,15978
,JAWA BARAT,1379
,JAWA TENGAH,1120
,DI YOGYAKARTA,1185
,JAWA TIMUR,855
,BANTEN,1248
,BALI,755
,NUSA TENGGARA BARAT,290
,NUSA TENGGARA TIMUR,111
,KALIMANTAN BARAT,37
,KALIMANTAN TENGAH,18
,KALIMANTAN SELATAN,106
,KALIMANTAN TIMUR,30
,KALIMANTAN UTARA,9
,SULAWESI UTARA,190
,SULAWESI TENGAH,49
,SULAWESI SELATAN,196
,SULAWESI TENGGARA,70
,GORONTALO,105
,SULAWESI BARAT,86
,MALUKU,40
,MALUKU UTARA,41
,PAPUA BARAT,11
,PAPUA,14
,INDONESIA,142
